ok;score;nombre;justificacion;marca;categoria;cuota;prom_categoria;desvio;ingredientes;toxicidad;red_flags;nutri_negativo;nutri_positivo;ultraprocesado;pobreza;amortiguacion;excesos;beneficiosos;alertas;id
;100;Agua Mineral Nativa Sin Gas 2.25 L;"Agua mineral y nada más. Un único ingrediente con puntaje perfecto, sin aditivos, sin azúcar y sin sodio agregado. No hay absolutamente nada que penalizar: es el 100 de la escala.";Nativa;Aguas;agua_100;83;17;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR;a8e4754c-7dfd-4f8c-9346-23ffd2755905
;100;AGUA MINERAL MATUTINA SIN GAS BOTELLA 2.25 LITROS;"Agua mineral con bicarbonato de sodio naturalmente presente, un mineral sin objeciones. Sin azúcares, sin aditivos y sin calorías. Igual que cualquier agua sin gas, se queda con el puntaje máximo.";MATUTINA;Aguas;agua_100;83;17;-0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR;55692058-c48e-48a9-b725-c1ec02fb1828
;26;Coca Cola Retornable 2 L - Incluye Envase;"Lleva sello de exceso de azúcares, que descuenta 15 puntos, y la clasificación como ultraprocesado otros 20. A eso se suman el caramelo amónico de sulfito y el ácido fosfórico, dos aditivos de toxicidad media, y 15 puntos más por no aportar ningún nutriente beneficioso. Es azúcar disuelta en agua carbonatada.";Coca Cola;Refrescos;refresco_azucarado;25;1;14.9;7.0;2.4;15.0;0.0;20.0;15.0;0.0;Azúcares 11g;;;8e4d5651-b680-454c-9c39-116bdf459a6d
;26;Refresco Cola Pepsi No Retornable - Botella 1.50 L;"Prácticamente idéntica a la Coca-Cola en composición y en puntaje: mismo sello de azúcares, mismo caramelo amónico, mismo ácido fosfórico y la misma ausencia total de nutrientes que aporten algo. Los 26 puntos que quedan son casi todo el agua.";Pepsi;Refrescos;refresco_azucarado;25;1;15.1;6.6;2.4;15.0;0.0;20.0;15.0;0.0;Azúcares 11g;;;ef3bdfa7-6759-4b2a-ad6f-58cd76f1cea6
;25;Sprite Original 3L;"Un punto por debajo de la Coca-Cola. Comparte el sello de azúcares y el ultraprocesado, y agrega benzoato de sodio y EDTA cálcico disódico, dos conservantes que el modelo puntúa duro. Sin color caramelo, pero la carga de aditivos termina siendo equivalente.";Sprite;Refrescos;refresco_azucarado;25;0;14.1;8.6;2.5;15.0;0.0;20.0;15.0;0.0;Azúcares 5.75g;;;03de8eea-2b9e-48de-82a2-d87ade947249
;16;Fanta Original 3L;"Diez puntos por debajo de la Coca-Cola, y la diferencia son los colorantes: amarillo ocaso y amaranto, este último con la toxicidad más alta de la tabla. Sumados al sello de azúcares, al ultraprocesado y al benzoato de sodio, la dejan entre los refrescos peor puntuados.";Fanta;Refrescos;refresco_azucarado;25;9;20.0;11.0;3.1;15.0;0.0;20.0;15.0;0.4;Azúcares 6g;;;83a1c583-1aa1-40a1-b037-4e89f33192e7
;100;Lentejones Río De La Plata 1 Kg;"Un solo ingrediente y de los mejores posibles. Aporta 21,7 g de proteína y 3,5 g de fibra por cada 100 g, ambos muy por encima del umbral, sin aditivos ni azúcar agregado. Una legumbre seca es lo más cerca del ideal que hay en una góndola.";Rio De La Plata;Legumbres secas;natural_100;91;9;-3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;;Fibra alimentaria 3.5g | Proteínas 21.67g;;fc94d390-0cf5-421f-af87-56c55a7a8916
;100;Maracuya Congelado Cambay 500 G;"Fruta congelada, ingrediente único, sin azúcar agregado ni conservantes. Declara justo el mínimo de fibra y proteína para que cuenten como aporte, así que casi no suma por ese lado, pero tampoco tiene nada que restar.";Cambay;Congelados;natural_100;64;36;-3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;;Fibra alimentaria 1g | Proteínas 2g;;f67e1b43-a81e-414e-8d94-c52bc5187262
;12;Alfajor Milka Oreo Dulce De Leche 55 G;"El golpe fuerte viene de la tabla nutricional: 42,5 puntos de descuento por exceso, sobre todo azúcares y grasas saturadas. A eso se suman los 20 del ultraprocesado y el jarabe de maíz de alta fructosa entre los primeros ingredientes. Ni la fibra ni la proteína del cacao alcanzan a compensar.";Milka;Golosinas y Chocolates;alfajor;21;9;17.3;6.8;2.8;42.5;3.1;20.0;5.0;2.9;Azúcares 42.62g | Grasas saturadas 10.66g;Fibra alimentaria 2.13g | Proteínas 6.23g;;e7d0c81e-7640-4d14-afe0-938ec8e2d8ab
;13;Alfajor Bon O Bon Mini 6 U 117G;"Tiene aceite de soja hidrogenado, el peor puntaje posible en la tabla de ingredientes, más aceite de palma interesterificado y jarabe de glucosa. Con 500 kcal por cada 100 g, ultraprocesado y una lista de 19 ingredientes, los 13 puntos que quedan salen del maní y la leche.";Bon O Bon;Golosinas y Chocolates;alfajor;21;8;23.8;11.5;3.8;28.0;3.9;20.0;5.0;1.6;Azúcares 35.9g | Grasas saturadas 10.77g;Fibra alimentaria 2.05g | Proteínas 8.72g;;197f52e7-91f5-42b3-bffd-eb5e9f4c51e7
